תאריך,עיירה,נהר
25-12-22,בילגוריי,בוג
05-07-24,גני תקווה,ויסלה
06-07-24,חולון,סולה
12-04-23,מגשימים,ויסלה
23-06-24,ג'סר א-זרקא,דנייפר
30-06-24,ג'סר א-זרקא,דנייפר
02-07-24,באקה אל-גרבייה,סולה
01-05-24,חולון,דנייפר
23-07-22,כפר סבא,בוג
31-10-22,כעביה,דנייפר
20-08-23,חדרה,בוג
28-01-24,ג'סר א-זרקא,ויסלה
21-12-22,לוחמי הגטאות,בוג
05-11-23,יהוד,דנייפר
12-10-22,רמות השבים,בוג
12-06-22,טיקוצי'ן,בוג
18-09-23,ג'סר א-זרקא,בוג
12-07-23,בנימינה,דנייפר
13-07-22,ג'סר א-זרקא,דנובה
10-06-22,קז'ימיש דולני,ויסלה
31-03-22,הוד השרון,ירקון
09-12-21,מטולה,בוג
20-08-21,אושווינצ'ים,ויסלה
20-09-21,באקה אל-גרבייה,ויסלה
16-05-22,ג'סר א-זרקא,בוג
15-05-22,חולון,ויסלה
27-12-21,זרזיר,בוג
10-02-22,קרית ביאליק,בוג
09-10-21,קרית חיים,בוג
20-11-21,יהוד,בוג
29-11-21,נצרת,ויסלה
02-08-21,מודיעים,וולגה
16-02-22,אבו קווידר,בוג
11-05-22,כפר קרע,בוג
01-12-21,ביר אל-מכסור,בוג
13-09-21,נוף הגליל,ויסלה
03-10-21,נורדיה,ויסלה
30-06-21,,ויסלה
05-04-21,ראש העין,בוג
27-05-21,כפר סבא,בוג
01-07-21,אושווינצ'ים,סולה
09-07-21,חולון,ויסלה
03-05-21,לקיה,ויסלה
06-07-21,גבעתיים,בוג
15-06-21,רמות השבים,ריין
29-06-21,קרקוב,ויסלה
25-06-21,נצרת,בוג
13-07-21,טירה,בוג
07-07-21,שייח דנון,וולגה
23-05-21,רמת ישי,בוג
09-06-21,טירת הכרמל,בוג
10-03-21,תרשיחא,בוג
25-05-21,נצרת,דנייפר
25-01-21,זרזיר,בוג
